last_name, first_name,player_id,year,pitch_hand,n,n_ff_formatted,ff_avg_speed,ff_avg_spin,n_sl_formatted,sl_avg_speed,sl_avg_spin,n_ch_formatted,ch_avg_speed,ch_avg_spin,n_cukc_formatted,cu_avg_speed,cu_avg_spin,n_sift_formatted,si_avg_speed,si_avg_spin,n_fc_formatted,fc_avg_speed,fc_avg_spin,n_fs_formatted,fs_avg_speed,fs_avg_spin,n_kn_formatted,kn_avg_speed,kn_avg_spin,n_fastball_formatted,fastball_avg_speed,fastball_avg_spin,n_breaking_formatted,breaking_avg_speed,breaking_avg_spin,n_offspeed_formatted,offspeed_avg_speed,offspeed_avg_spin,
Kikuchi, Yusei,579328,2021,L,656,29.7,95.1,2351,21,82.9,2518,7.8,87,1703,,,,,,,41.5,91.4,2412,,,,,,,71.2,93,2386,21,82.9,2518,7.8,87,1703,
Foltynewicz, Mike,592314,2021,R,733,37.9,94.3,2176,26.5,83,2455,10.4,86.3,1779,4.1,77.6,2406,21.1,93.8,2140,,,,,,,,,,59.1,94.1,2163,30.6,82.3,2448,10.4,86.3,1779,
Gausman, Kevin,592332,2021,R,677,51.6,94.5,2300,8.6,82,2268,5,84.5,1728,,,,,,,,,,34.9,83.9,1587,,,,51.6,94.5,2300,8.6,82,2268,39.9,84,1605,
Gray, Jon,592351,2021,R,741,46.8,94,2137,37.1,86.2,2380,10.8,86.5,1409,4.7,75.4,2533,0.5,94,2111,,,,,,,,,,47.4,94,2136,41.8,85,2397,10.8,86.5,1409,
Walker, Taijuan,592836,2021,R,636,31.9,94.3,2172,23.3,85.7,2441,,,,9.1,75.9,2421,20.9,93.5,2099,,,,14.8,89.6,1697,,,,52.8,94,2143,32.4,82.9,2435,14.8,89.6,1697,
Martinez, Carlos,593372,2021,R,622,25.4,93.4,2074,23.6,82.8,2090,11.1,84.9,1872,2.7,79.4,2048,11.9,91.5,1970,25.2,90.7,2184,,,,,,,62.5,92,2099,26.4,82.4,2085,11.1,84.9,1872,
Rodriguez, Eduardo,593958,2021,L,600,27.7,92,2172,9.3,81.9,2103,28.3,87.1,2012,,,,13.3,92.5,2139,21.3,87.7,2155,,,,,,,62.3,90.6,2159,9.3,81.9,2103,28.3,87.1,2012,
deGrom, Jacob,594798,2021,R,541,63.8,98.9,2400,23.5,91.6,2575,12.8,91.1,1617,,,,,,,,,,,,,,,,63.8,98.9,2400,23.5,91.6,2575,12.8,91.1,1617,
Gomber, Austin,596295,2021,L,660,45,91.7,1986,23.2,85.3,2258,11.1,82.8,1630,20.8,75.4,2528,,,,,,,,,,,,,45,91.7,1986,43.9,80.6,2385,11.1,82.8,1630,
Bassitt, Chris,605135,2021,R,729,18.4,93.9,2199,8,74.3,2400,8.8,85.4,1986,6.6,71.2,2311,36.9,93.1,2148,21.4,89.2,2244,,,,,,,76.7,92.2,2187,14.5,72.9,2359,8.8,85.4,1986,
Bundy, Dylan,605164,2021,R,613,34.7,91.7,2539,23.7,81.2,2701,16.8,84.2,1780,13.7,74.8,2495,11.1,91.8,2447,,,,,,,,,,45.8,91.8,2516,37.4,78.8,2626,16.8,84.2,1780,
Musgrove, Joe,605397,2021,R,619,15.3,93.4,2573,30,83.7,2740,8.9,86.9,2105,18.7,81.7,2735,4.5,92.9,2403,22.5,90.1,2633,,,,,,,42.3,91.6,2587,48.8,82.9,2738,8.9,86.9,2105,
Nola, Aaron,605400,2021,R,730,40.3,92.4,2131,,,,21.8,84.5,1470,27.3,78.2,2492,8.4,91.3,2072,2.3,86.9,2209,,,,,,,51,91.9,2125,27.3,78.2,2492,21.8,84.5,1470,
Woodruff, Brandon,605540,2021,R,725,36.3,96.6,2383,13.8,86.4,2597,11.9,86.4,1865,11.9,84.2,2673,26.2,96.5,2329,,,,,,,,,,62.5,96.6,2361,25.7,85.4,2632,11.9,86.4,1865,
Glasnow, Tyler,607192,2021,R,771,53.3,97.2,2440,29.4,87.8,2799,3,91.8,1738,14.3,83.7,3047,,,,,,,,,,,,,53.3,97.2,2440,43.7,86.5,2880,3,91.8,1738,
Means, John,607644,2021,L,755,51.5,92.6,2402,7.4,85.7,2366,29,83,2279,12.1,77.5,2353,,,,,,,,,,,,,51.5,92.6,2402,19.5,80.6,2358,29,83,2279,
Irvin, Cole,608344,2021,L,629,38.6,90.8,1962,16.1,82.5,1963,20.2,83.8,1588,3.8,76.4,2059,21.3,90.5,1919,,,,,,,,,,59.9,90.7,1947,19.9,81.3,1982,20.2,83.8,1588,
Marquez, German,608566,2021,R,682,46.8,94.8,2079,20.8,86.2,2398,1.5,85.9,1704,23.9,84.8,2600,7,94.2,2037,,,,,,,,,,53.8,94.7,2073,44.7,85.5,2506,1.5,85.9,1704,
Eflin, Zach,621107,2021,R,739,9.5,93,2161,25.4,87.4,2143,10.8,85.1,1751,9.6,77.3,2283,44.7,92.2,2057,,,,,,,,,,54.1,92.4,2075,35,84.6,2181,10.8,85.1,1751,
Buehler, Walker,621111,2021,R,653,51.3,95.2,2633,11.3,85.8,2934,,,,15.6,80.4,3059,7.2,95.3,2499,14.5,91.6,2814,,,,,,,73,94.5,2656,27,82.7,3006,,,,
McCullers Jr., Lance,621121,2021,R,688,,,,23.8,86,2709,16.9,86,1819,22.1,84.5,2855,33.6,93.6,2155,3.6,89.6,2569,,,,,,,37.2,93.2,2196,45.9,85.3,2779,16.9,86,1819,
Berrios, Jose,621244,2021,R,631,31.4,94.2,2288,,,,12.4,86.2,1490,33.4,83.9,2349,22.8,93.9,2181,,,,,,,,,,54.2,94.1,2243,33.4,83.9,2349,12.4,86.2,1490,
Castillo, Luis,622491,2021,R,682,28.9,96.2,2275,16.3,84.6,2376,35,86.9,2010,,,,19.8,96.1,2164,,,,,,,,,,48.7,96.2,2230,16.3,84.6,2376,35,86.9,2010,
